iter	RMSE
0	5.398455892
1	5.269817243
2	5.140563542
3	5.015088188
4	4.905553714
5	4.792885251
6	4.68744891
7	4.59669339
8	4.512902217
9	4.420849011
10	4.337920547
11	4.260812078
12	4.185135577
13	4.109136014
14	4.042153518
15	3.980519366
16	3.923212996
17	3.864756907
18	3.803674848
19	3.748253812
20	3.706500164
21	3.667532657
22	3.626294541
23	3.588697699
24	3.552400364
25	3.523023309
26	3.495226832
27	3.467937781
28	3.428643586
29	3.399699173
30	3.376226313
31	3.350718018
32	3.321899945
33	3.296211469
34	3.271194388
35	3.239759121
36	3.213333504
37	3.193440973
38	3.175194967
39	3.15532461
40	3.143222538
41	3.124978701
42	3.10141587
43	3.083417671
44	3.058405582
45	3.046692738
46	3.03468538
47	3.021572552
48	3.003536975
49	2.987493744
50	2.973702057
51	2.957304756
52	2.943275725
53	2.932959893
54	2.926622673
55	2.910132642
56	2.89990539
57	2.884320952
58	2.874142139
59	2.860332658
60	2.850177031
61	2.840918179
62	2.830131278
63	2.817500149
64	2.806464298
65	2.796208127
66	2.786149841
67	2.776246083
68	2.761532741
69	2.753562293
70	2.742410017
71	2.734340114
72	2.723422974
73	2.711705286
74	2.70561934
75	2.701860986
76	2.694554815
77	2.688947787
78	2.672605197
79	2.664280945
80	2.656301614
81	2.650493609
82	2.638370762
83	2.630024038
84	2.623527714
85	2.616496946
86	2.610212966
87	2.603101287
88	2.596725969
89	2.585264776
90	2.576714442
91	2.568755636
92	2.56472427
93	2.55948487
94	2.553354615
95	2.546723325
96	2.539860121
97	2.535350965
98	2.531430183
99	2.523615619
100	2.517007523
101	2.511995916
102	2.503726627
103	2.501427478
104	2.494233563
105	2.487610465
106	2.478826566
107	2.470030028
108	2.459114711
109	2.458632098
110	2.449452723
111	2.442301481
112	2.436130083
113	2.431180188
114	2.424030717
115	2.416278125
116	2.412857206
117	2.407964895
118	2.405156565
119	2.393721009
120	2.387611842
121	2.379690883
122	2.370735865
123	2.365892264
124	2.362279373
125	2.357184147
126	2.35036814
127	2.34545934
128	2.340227009
129	2.332890612
130	2.32720199
131	2.318594003
132	2.314435908
133	2.311426164
134	2.309227568
135	2.303830584
136	2.295992356
137	2.288842809
138	2.285258135
139	2.277193572
140	2.273173556
141	2.269707457
142	2.264823575
143	2.259514004
144	2.250143084
145	2.244671269
146	2.240328399
147	2.235261988
148	2.227868635
149	2.221901132
150	2.217427096
151	2.21157877
152	2.205785881
153	2.203329538
154	2.197300858
155	2.192691816
156	2.189367751
157	2.182999497
158	2.175566503
159	2.169815042
160	2.163092954
161	2.159813812
162	2.155351967
163	2.150845587
164	2.145344427
165	2.140211102
166	2.13393709
167	2.128833063
168	2.124669328
169	2.118747205
170	2.113276854
