iter	Passed	Remaining
0	151	151154
1	155	77418
2	159	52932
3	162	40458
4	165	32954
5	168	27961
6	172	24515
7	174	21617
8	176	19467
9	179	17734
10	181	16330
11	183	15147
12	187	14209
13	189	13352
14	191	12603
15	193	11887
16	195	11314
17	198	10806
18	200	10366
19	202	9944
20	204	9549
21	206	9192
22	209	8878
23	210	8577
24	212	8301
25	215	8057
26	217	7825
27	219	7605
28	221	7400
29	223	7218
30	225	7038
31	226	6862
32	228	6701
33	230	6544
34	232	6403
35	234	6276
36	236	6145
37	237	6018
38	239	5897
39	240	5783
40	242	5680
41	244	5576
42	246	5477
43	247	5385
44	249	5294
45	250	5199
46	252	5119
47	254	5050
48	256	4979
49	258	4902
50	259	4826
51	260	4753
52	262	4689
53	264	4635
54	266	4572
55	267	4509
56	268	4448
57	270	4393
58	272	4339
59	273	4284
60	274	4230
61	276	4178
62	277	4131
63	279	4084
64	280	4038
65	282	3992
66	284	3955
67	286	3920
68	287	3877
69	288	3835
70	290	3796
71	291	3757
72	293	3723
73	294	3687
74	296	3650
75	297	3616
76	300	3605
77	302	3574
78	303	3542
79	305	3513
80	307	3484
81	308	3457
82	310	3429
83	311	3401
84	314	3389
85	316	3368
86	318	3343
87	320	3317
88	321	3292
89	323	3270
90	324	3246
91	326	3222
92	328	3203
93	330	3183
94	332	3165
95	333	3141
96	335	3119
97	336	3096
98	338	3077
99	339	3055
100	341	3039
101	343	3021
102	345	3006
103	347	2992
104	348	2973
105	350	2953
106	351	2934
107	353	2917
108	354	2899
109	355	2878
110	357	2860
111	359	2849
112	361	2837
113	363	2821
114	364	2805
115	366	2790
116	367	2775
117	375	2803
118	377	2797
119	379	2783
120	381	2768
121	383	2757
122	384	2744
123	387	2734
124	389	2724
125	392	2720
126	394	2714
127	397	2704
128	399	2695
129	400	2682
130	402	2668
131	404	2661
132	406	2648
133	407	2635
134	409	2622
135	411	2612
136	413	2603
137	415	2592
138	416	2580
139	418	2570
140	420	2562
141	422	2551
142	423	2539
143	425	2529
144	427	2519
145	428	2508
146	430	2497
147	431	2486
148	433	2476
149	435	2469
150	437	2458
151	438	2448
152	440	2439
153	442	2429
154	443	2420
155	445	2409
156	446	2399
157	448	2391
158	450	2384
159	452	2374
160	454	2366
161	455	2358
162	457	2349
163	459	2340
164	460	2330
165	462	2321
166	463	2313
167	465	2306
168	467	2297
169	469	2289
170	470	2281
171	472	2274
172	474	2266
173	475	2258
174	477	2249
175	478	2242
176	481	2236
177	482	2229
178	484	2221
179	485	2213
180	487	2206
181	489	2199
182	490	2191
183	492	2183
184	494	2176
185	496	2172
186	497	2164
187	499	2157
188	500	2149
189	502	2142
190	504	2135
191	505	2127
192	507	2120
193	509	2116
194	511	2110
195	512	2103
196	514	2095
197	515	2088
198	517	2082
199	518	2075
200	520	2068
201	521	2061
202	523	2055
203	526	2053
204	528	2048
205	529	2042
206	531	2035
207	533	2030
208	534	2024
209	536	2017
210	538	2012
211	540	2008
212	541	2002
213	543	1995
214	544	1989
215	546	1982
216	547	1977
217	549	1971
218	551	1965
219	553	1960
220	555	1956
221	556	1951
222	558	1944
223	559	1938
224	561	1933
225	562	1928
226	564	1922
227	566	1917
228	568	1913
229	570	1908
230	571	1903
231	573	1897
232	574	1891
233	576	1886
234	577	1880
235	579	1875
236	581	1871
237	582	1866
238	585	1863
239	586	1858
240	588	1852
241	589	1847
242	591	1841
243	592	1836
244	594	1832
245	596	1826
246	597	1821
247	599	1818
248	601	1813
249	602	1808
250	604	1803
251	605	1798
252	607	1794
253	609	1790
254	611	1785
255	612	1780
256	615	1778
257	616	1773
258	618	1768
259	619	1764
260	621	1759
261	623	1756
262	624	1751
263	626	1746
264	628	1742
265	630	1739
266	631	1734
267	633	1729
268	634	1725
269	636	1721
270	638	1717
271	639	1712
272	641	1708
273	643	1705
274	645	1701
275	646	1696
276	648	1692
277	650	1688
278	652	1685
279	653	1681
280	655	1676
281	656	1672
282	659	1670
283	660	1665
284	662	1661
285	663	1657
286	665	1653
287	667	1650
288	668	1645
289	670	1641
290	672	1637
291	674	1634
292	675	1630
293	677	1626
294	679	1622
295	680	1618
296	682	1615
297	683	1611
298	685	1606
299	686	1602
300	689	1600
301	690	1596
302	692	1593
303	694	1589
304	695	1585
305	697	1581
306	698	1577
307	700	1573
308	701	1569
309	704	1567
310	706	1564
311	707	1560
312	709	1556
313	710	1552
314	712	1549
315	714	1546
316	716	1544
317	718	1540
318	720	1537
319	721	1533
320	723	1530
321	724	1526
322	726	1523
323	729	1521
324	731	1518
325	732	1513
326	733	1510
327	735	1506
328	737	1503
329	738	1499
330	740	1496
331	742	1493
332	744	1490
333	745	1487
334	747	1483
335	749	1480
336	750	1476
337	752	1473
338	753	1469
339	755	1466
340	756	1462
341	759	1460
342	760	1457
343	762	1454
344	764	1452
345	766	1449
346	768	1446
347	770	1443
348	772	1440
349	774	1438
350	776	1435
351	777	1431
352	779	1428
353	780	1424
354	782	1421
355	783	1417
356	785	1414
357	787	1411
358	789	1410
359	791	1407
360	792	1403
361	794	1400
362	795	1396
363	797	1393
364	798	1389
365	800	1386
366	802	1384
367	805	1383
368	806	1379
369	808	1376
370	809	1373
371	811	1369
372	812	1366
373	814	1363
374	815	1359
375	818	1358
376	821	1356
377	822	1353
378	824	1350
379	825	1347
380	827	1344
381	829	1341
382	830	1338
383	834	1337
384	836	1335
385	837	1332
386	839	1329
387	840	1326
388	842	1322
389	843	1319
390	845	1316
391	847	1314
392	849	1312
393	851	1309
394	853	1306
395	854	1303
396	855	1300
397	857	1296
398	858	1293
399	861	1291
400	863	1289
401	865	1287
402	867	1285
403	869	1282
404	871	1279
405	872	1276
406	874	1274
407	876	1271
408	878	1269
409	880	1266
410	882	1264
411	883	1261
412	885	1258
413	887	1255
414	889	1253
415	890	1250
416	892	1248
417	894	1245
418	896	1242
419	897	1239
420	899	1236
421	900	1233
422	902	1231
423	904	1228
424	905	1225
425	907	1223
426	909	1221
427	911	1218
428	913	1215
429	914	1212
430	916	1209
431	917	1206
432	919	1203
433	920	1201
434	922	1198
435	925	1196
436	926	1193
437	927	1190
438	929	1188
439	931	1185
440	932	1182
441	934	1179
442	935	1176
443	937	1174
444	939	1172
445	941	1169
446	948	1173
447	950	1171
448	952	1169
449	955	1167
450	956	1164
451	958	1162
452	960	1159
453	961	1156
454	963	1153
455	964	1151
456	966	1148
457	968	1146
458	970	1144
459	972	1141
460	974	1138
461	975	1136
462	977	1133
463	978	1130
464	980	1128
465	982	1126
466	986	1125
467	987	1122
468	989	1120
469	990	1117
470	992	1114
471	993	1111
472	995	1108
473	996	1106
474	998	1104
475	1001	1102
476	1002	1099
477	1004	1096
478	1005	1094
479	1007	1091
480	1009	1088
481	1010	1086
482	1012	1083
483	1014	1082
484	1016	1079
485	1018	1076
486	1019	1074
487	1021	1071
488	1022	1068
489	1024	1065
490	1025	1063
491	1027	1061
492	1030	1059
493	1032	1057
494	1033	1054
495	1035	1051
496	1036	1049
497	1038	1046
498	1039	1043
499	1041	1041
500	1044	1040
501	1045	1037
502	1047	1034
503	1049	1032
504	1050	1029
505	1052	1027
506	1053	1024
507	1055	1022
508	1057	1020
509	1059	1018
510	1061	1015
511	1062	1013
512	1064	1010
513	1065	1007
514	1067	1005
515	1069	1002
516	1070	1000
517	1073	998
518	1075	996
519	1076	994
520	1078	991
521	1079	988
522	1081	986
523	1082	983
524	1084	981
525	1086	978
526	1088	976
527	1090	974
528	1092	972
529	1093	969
530	1095	967
531	1096	964
532	1098	962
533	1100	959
534	1101	957
535	1103	955
536	1105	953
537	1107	950
538	1108	948
539	1110	945
540	1111	943
541	1113	941
542	1115	938
543	1116	936
544	1118	933
545	1120	931
546	1121	929
547	1123	926
548	1124	923
549	1126	921
550	1128	919
551	1130	917
552	1132	915
553	1135	914
554	1137	911
555	1138	909
556	1140	906
557	1142	904
558	1143	902
559	1145	899
560	1146	897
561	1148	895
562	1150	893
563	1152	890
564	1153	888
565	1155	885
566	1157	883
567	1158	881
568	1160	878
569	1161	876
570	1163	874
571	1165	872
572	1167	869
573	1168	867
574	1170	865
575	1171	862
576	1173	860
577	1174	857
578	1176	855
579	1178	853
580	1180	851
581	1181	848
582	1183	846
583	1185	844
584	1187	842
585	1188	839
586	1190	837
587	1192	835
588	1194	833
589	1196	831
590	1198	829
591	1199	826
592	1201	824
593	1202	822
594	1204	819
595	1206	817
596	1208	815
597	1210	813
598	1212	811
599	1214	809
600	1215	807
601	1217	804
602	1219	802
603	1220	800
604	1222	798
605	1224	796
606	1226	794
607	1228	791
608	1229	789
609	1231	787
610	1232	784
611	1234	782
612	1235	780
613	1238	778
614	1241	777
615	1242	774
616	1244	772
617	1245	770
618	1247	767
619	1248	765
620	1250	762
621	1251	760
622	1254	758
623	1255	756
624	1257	754
625	1259	752
626	1262	750
627	1263	748
628	1265	746
629	1267	744
630	1269	742
631	1270	739
632	1272	737
633	1273	735
634	1275	732
635	1276	730
636	1278	728
637	1279	726
638	1281	723
639	1284	722
640	1285	720
641	1287	717
642	1288	715
643	1290	713
644	1291	710
645	1293	708
646	1294	706
647	1297	704
648	1298	702
649	1300	700
650	1301	697
651	1303	695
652	1304	693
653	1306	691
654	1307	688
655	1309	686
656	1311	684
657	1313	682
658	1314	680
659	1316	678
660	1317	675
661	1319	673
662	1320	671
663	1322	668
664	1323	666
665	1325	664
666	1327	662
667	1329	660
668	1330	658
669	1332	656
